pair,entry_z,exit_z,lookback,sl_mult,cal_expR,cal_pctMR,val_expR,val_pctMR,val_n,fwd_expR,fwd_pctMR
LTC/ADA,1.5,0.5,40,2.0,0.1591,45.1,0.775,48.0,76,2.0606,48.5
LTC/ADA,1.5,0.5,60,1.0,1.4195,46.4,2.9396,50.6,58,2.7849,46.9
LTC/ADA,1.5,0.5,60,1.5,0.9462,46.4,1.9597,50.6,58,1.8566,46.9
LTC/ADA,1.5,0.5,60,2.0,0.7096,46.4,1.4697,50.6,58,1.3924,46.9
LTC/ADA,1.5,0.8,20,1.0,1.7651,48.9,1.5618,50.0,144,2.7687,48.8
LTC/ADA,1.5,0.8,20,1.5,1.1767,48.9,1.0411,50.0,144,1.8458,48.8
LTC/ADA,1.5,0.8,20,2.0,0.8824,48.9,0.7808,50.0,144,1.3843,48.8
LTC/ADA,1.5,0.8,30,1.0,-1.5592,44.7,1.7701,48.5,113,2.961,49.2
LTC/ADA,1.5,0.8,30,1.5,-1.0395,44.7,1.18,48.5,113,1.9739,49.2
LTC/ADA,1.5,0.8,30,2.0,-0.7797,44.7,0.8849,48.5,113,1.4804,49.2
LTC/ADA,1.5,0.8,40,1.0,-0.2769,48.4,1.0475,49.8,85,3.3929,49.6
LTC/ADA,1.5,0.8,40,1.5,-0.1846,48.4,0.6983,49.8,85,2.2619,49.6
LTC/ADA,1.5,0.8,40,2.0,-0.1385,48.4,0.5237,49.8,85,1.6963,49.6
LTC/ADA,1.5,0.8,60,1.0,-0.491,48.8,1.2786,48.2,63,2.8712,49.0
LTC/ADA,1.5,0.8,60,1.5,-0.3274,48.8,0.8523,48.2,63,1.9141,49.0
LTC/ADA,1.5,0.8,60,2.0,-0.2456,48.8,0.6392,48.2,63,1.4355,49.0
LTC/ADA,2.0,0.3,20,1.0,-3.1111,44.7,1.0072,50.9,86,4.388,46.7
LTC/ADA,2.0,0.3,20,1.5,-2.0741,44.7,0.6714,50.9,86,2.9253,46.7
LTC/ADA,2.0,0.3,20,2.0,-1.5557,44.7,0.5035,50.9,86,2.1939,46.7
LTC/ADA,2.0,0.3,30,1.0,1.3533,47.2,1.7774,47.8,62,5.1819,48.3
LTC/ADA,2.0,0.3,30,1.5,0.9021,47.2,1.1848,47.8,62,3.4545,48.3
LTC/ADA,2.0,0.3,30,2.0,0.6765,47.2,0.8886,47.8,62,2.5908,48.3
LTC/ADA,2.0,0.3,40,1.0,0.5715,46.9,2.4832,47.6,56,5.4593,48.8
LTC/ADA,2.0,0.3,40,1.5,0.381,46.9,1.6554,47.6,56,3.6394,48.8
LTC/ADA,2.0,0.3,40,2.0,0.2857,46.9,1.2415,47.6,56,2.7295,48.8
LTC/ADA,2.0,0.3,60,1.0,-1.3422,45.1,4.1241,50.6,37,4.0008,50.4
LTC/ADA,2.0,0.3,60,1.5,-0.8948,45.1,2.7493,50.6,37,2.6671,50.4
LTC/ADA,2.0,0.3,60,2.0,-0.6712,45.1,2.0619,50.6,37,2.0003,50.4
LTC/ADA,2.0,0.5,20,1.0,-0.23,45.2,1.0242,49.5,88,3.9645,49.4
LTC/ADA,2.0,0.5,20,1.5,-0.1534,45.2,0.6828,49.5,88,2.643,49.4
LTC/ADA,2.0,0.5,20,2.0,-0.1151,45.2,0.512,49.5,88,1.9822,49.4
LTC/ADA,2.0,0.5,30,1.0,0.5652,45.4,0.6777,44.9,64,4.3643,48.3
LTC/ADA,2.0,0.5,30,1.5,0.3768,45.4,0.4518,44.9,64,2.9095,48.3
LTC/ADA,2.0,0.5,30,2.0,0.2825,45.4,0.3388,44.9,64,2.182,48.3
LTC/ADA,2.0,0.5,40,1.0,-0.0568,46.5,2.4287,48.2,60,4.1647,48.0
LTC/ADA,2.0,0.5,40,1.5,-0.0379,46.5,1.6191,48.2,60,2.7764,48.0
LTC/ADA,2.0,0.5,40,2.0,-0.0285,46.5,1.2142,48.2,60,2.0823,48.0
LTC/ADA,2.0,0.5,60,1.0,0.2424,46.2,2.6941,49.9,37,2.8725,47.6
LTC/ADA,2.0,0.5,60,1.5,0.1615,46.2,1.796,49.9,37,1.915,47.6
LTC/ADA,2.0,0.5,60,2.0,0.1211,46.2,1.3469,49.9,37,1.4362,47.6
LTC/ADA,2.0,0.8,20,1.0,1.0373,50.5,1.3229,49.5,94,3.2368,48.4
LTC/ADA,2.0,0.8,20,1.5,0.6915,50.5,0.8818,49.5,94,2.1578,48.4
LTC/ADA,2.0,0.8,20,2.0,0.5186,50.5,0.6613,49.5,94,1.6183,48.4
LTC/ADA,2.0,0.8,30,1.0,-2.3487,46.3,1.067,47.8,68,3.6509,49.4
LTC/ADA,2.0,0.8,30,1.5,-1.5659,46.3,0.7112,47.8,68,2.4338,49.4
LTC/ADA,2.0,0.8,30,2.0,-1.1745,46.3,0.5334,47.8,68,1.8253,49.4
LTC/ADA,2.0,0.8,40,1.0,-0.2588,46.1,1.514,46.8,64,3.5889,48.4
LTC/ADA,2.0,0.8,40,1.5,-0.1726,46.1,1.0093,46.8,64,2.3925,48.4
LTC/ADA,2.0,0.8,40,2.0,-0.1295,46.1,0.7569,46.8,64,1.7943,48.4
LTC/ADA,2.0,0.8,60,1.0,-1.5236,49.0,0.6032,50.1,38,3.4091,49.2
LTC/ADA,2.0,0.8,60,1.5,-1.0158,49.0,0.4021,50.1,38,2.2727,49.2
LTC/ADA,2.0,0.8,60,2.0,-0.7619,49.0,0.3015,50.1,38,1.7045,49.2
LTC/ADA,2.5,0.3,20,1.0,-4.2117,43.0,0.6991,46.9,48,2.1772,48.5
LTC/ADA,2.5,0.3,20,1.5,-2.8079,43.0,0.466,46.9,48,1.4514,48.5
LTC/ADA,2.5,0.3,20,2.0,-2.106,43.0,0.3495,46.9,48,1.0885,48.5
LTC/ADA,2.5,0.3,30,1.0,-0.1426,47.4,2.1111,47.8,41,4.4902,49.2
LTC/ADA,2.5,0.3,30,1.5,-0.0951,47.4,1.4073,47.8,41,2.9934,49.2
LTC/ADA,2.5,0.3,30,2.0,-0.0714,47.4,1.0555,47.8,41,2.245,49.2
LTC/ADA,2.5,0.3,40,1.0,-0.5216,49.7,3.7018,48.9,34,3.1478,48.5
LTC/ADA,2.5,0.3,40,1.5,-0.3478,49.7,2.4678,48.9,34,2.0985,48.5
LTC/ADA,2.5,0.3,40,2.0,-0.2609,49.7,1.8508,48.9,34,1.5738,48.5
LTC/ADA,2.5,0.3,60,1.0,-0.9285,42.8,6.2623,49.4,28,3.6375,46.9
LTC/ADA,2.5,0.3,60,1.5,-0.619,42.8,4.1748,49.4,28,2.4249,46.9
LTC/ADA,2.5,0.3,60,2.0,-0.4643,42.8,3.131,49.4,28,1.8186,46.9
LTC/ADA,2.5,0.5,20,1.0,-1.6085,45.5,0.7981,48.5,49,2.0434,48.3
LTC/ADA,2.5,0.5,20,1.5,-1.0724,45.5,0.532,48.5,49,1.3622,48.3
LTC/ADA,2.5,0.5,20,2.0,-0.8044,45.5,0.3989,48.5,49,1.0216,48.3
LTC/ADA,2.5,0.5,30,1.0,-0.9112,46.2,1.5009,50.0,43,3.5906,49.1
LTC/ADA,2.5,0.5,30,1.5,-0.6076,46.2,1.0005,50.0,43,2.3937,49.1
LTC/ADA,2.5,0.5,30,2.0,-0.4557,46.2,0.7503,50.0,43,1.7952,49.1
LTC/ADA,2.5,0.5,40,1.0,-0.58,48.9,2.9213,49.5,35,1.6276,48.1
LTC/ADA,2.5,0.5,40,1.5,-0.3867,48.9,1.9475,49.5,35,1.085,48.1
LTC/ADA,2.5,0.5,40,2.0,-0.2901,48.9,1.4606,49.5,35,0.8137,48.1
LTC/ADA,2.5,0.5,60,1.0,0.9691,44.2,5.8625,48.8,28,2.1148,46.4
LTC/ADA,2.5,0.5,60,1.5,0.646,44.2,3.9082,48.8,28,1.4098,46.4
LTC/ADA,2.5,0.5,60,2.0,0.4845,44.2,2.9311,48.8,28,1.0573,46.4
LTC/ADA,2.5,0.8,20,1.0,0.5889,46.2,0.8685,45.6,51,2.2279,50.2
LTC/ADA,2.5,0.8,20,1.5,0.3925,46.2,0.5789,45.6,51,1.4852,50.2
LTC/ADA,2.5,0.8,20,2.0,0.2943,46.2,0.4341,45.6,51,1.1139,50.2
LTC/ADA,2.5,0.8,30,1.0,-3.7731,45.2,1.2362,49.6,44,3.3322,49.1
LTC/ADA,2.5,0.8,30,1.5,-2.5154,45.2,0.8241,49.6,44,2.2214,49.1
LTC/ADA,2.5,0.8,30,2.0,-1.8866,45.2,0.618,49.6,44,1.666,49.1
LTC/ADA,2.5,0.8,40,1.0,-1.7328,47.2,2.4024,48.7,38,1.69,49.4
LTC/ADA,2.5,0.8,40,1.5,-1.1553,47.2,1.6016,48.7,38,1.1266,49.4
LTC/ADA,2.5,0.8,40,2.0,-0.8665,47.2,1.2011,48.7,38,0.8449,49.4
LTC/ADA,2.5,0.8,60,1.0,0.306,46.0,3.4401,49.1,29,3.8738,49.1
LTC/ADA,2.5,0.8,60,1.5,0.204,46.0,2.2933,49.1,29,2.5824,49.1
LTC/ADA,2.5,0.8,60,2.0,0.1529,46.0,1.72,49.1,29,1.9368,49.1
LTC/ADA,3.0,0.3,30,1.0,-4.7187,47.7,2.2058,49.6,23,1.1833,47.4
LTC/ADA,3.0,0.3,30,1.5,-3.1458,47.7,1.4705,49.6,23,0.7888,47.4
LTC/ADA,3.0,0.3,30,2.0,-2.3594,47.7,1.1028,49.6,23,0.5916,47.4
LTC/ADA,3.0,0.5,30,1.0,-4.9792,46.7,1.1644,49.0,23,0.4478,48.6
LTC/ADA,3.0,0.5,30,1.5,-3.3195,46.7,0.7762,49.0,23,0.2985,48.6
LTC/ADA,3.0,0.5,30,2.0,-2.4897,46.7,0.5821,49.0,23,0.2238,48.6
LTC/ADA,3.0,0.8,30,1.0,-8.1312,45.1,0.5739,50.3,23,1.901,48.0
LTC/ADA,3.0,0.8,30,1.5,-5.4209,45.1,0.3825,50.3,23,1.2673,48.0
LTC/ADA,3.0,0.8,30,2.0,-4.0657,45.1,0.2868,50.3,23,0.9504,48.0
XRP/ADA,1.5,0.3,20,1.0,2.1936,47.5,-0.4717,49.9,109,2.5223,49.0
XRP/ADA,1.5,0.3,20,1.5,1.4623,47.5,-0.3145,49.9,109,1.6815,49.0
XRP/ADA,1.5,0.3,20,2.0,1.0967,47.5,-0.236,49.9,109,1.2611,49.0
XRP/ADA,1.5,0.3,30,1.0,0.9301,50.8,-0.5074,49.0,82,1.1238,46.9
XRP/ADA,1.5,0.3,30,1.5,0.62,50.8,-0.3383,49.0,82,0.7491,46.9
XRP/ADA,1.5,0.3,30,2.0,0.465,50.8,-0.2538,49.0,82,0.5618,46.9
XRP/ADA,1.5,0.3,40,1.0,0.0523,49.5,0.9525,48.6,68,-0.4468,46.9
XRP/ADA,1.5,0.3,40,1.5,0.0348,49.5,0.6349,48.6,68,-0.2979,46.9
XRP/ADA,1.5,0.3,40,2.0,0.0261,49.5,0.4761,48.6,68,-0.2235,46.9
XRP/ADA,1.5,0.3,60,1.0,-0.0623,48.2,0.3164,50.3,45,0.0166,47.5
XRP/ADA,1.5,0.3,60,1.5,-0.0416,48.2,0.2109,50.3,45,0.011,47.5
XRP/ADA,1.5,0.3,60,2.0,-0.0312,48.2,0.1581,50.3,45,0.0082,47.5
XRP/ADA,1.5,0.5,20,1.0,2.0572,48.0,-0.3111,48.2,120,2.2655,49.8
XRP/ADA,1.5,0.5,20,1.5,1.3714,48.0,-0.2075,48.2,120,1.5103,49.8
XRP/ADA,1.5,0.5,20,2.0,1.0285,48.0,-0.1557,48.2,120,1.1327,49.8
XRP/ADA,1.5,0.5,30,1.0,0.5888,48.8,-0.0372,47.8,88,1.6525,49.6
XRP/ADA,1.5,0.5,30,1.5,0.3925,48.8,-0.0249,47.8,88,1.1016,49.6
